"No.","Time","Source","Destination","Protocol","Length","Info"
"11566","274.485000","fe80::20d:d:d:d","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11567","274.487856","","","IEEE 802.15.4","5","Ack"
"11568","274.504000","fe80::20d:d:d:d","fe80::20b:b:b:b","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11569","274.506856","","","IEEE 802.15.4","5","Ack"
"11570","274.532000","fe80::201:1:1:1","fe80::20f:f:f:f","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11571","274.534856","","","IEEE 802.15.4","5","Ack"
"11572","274.547000","fe80::201:1:1:1","fe80::20f:f:f:f","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11573","274.549856","","","IEEE 802.15.4","5","Ack"
"11574","274.569000","fe80::20d:d:d:d","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11575","274.734000","fe80::20a:a:a:a","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11576","274.808000","fe80::211:11:11:11","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11577","274.877000","fe80::212:12:12:12","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11578","274.884000","fe80::201:1:1:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11579","274.907000","fe80::212:12:12:12","fe80::201:1:1:1","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11580","274.909856","","","IEEE 802.15.4","5","Ack"
"11581","275.159000","fe80::210:10:10:10","fe80::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11582","275.161856","","","IEEE 802.15.4","5","Ack"
"11583","275.564000","fe80::201:1:1:1","fe80::212:12:12:12","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11584","275.566856","","","IEEE 802.15.4","5","Ack"
"11585","275.748000","fe80::205:5:5:5","fe80::212:12:12:12","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11586","275.750856","","","IEEE 802.15.4","5","Ack"
"11587","275.805000","fe80::205:5:5:5","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
